[2024-11-27 20:23:15,221] INFO:  * Detected change in 'c:\\Users\\user\\Desktop\\GitHub\\AI2.ver8.5(log追加)\\app.py', reloading
[2024-11-27 20:23:16,091] INFO:  * Restarting with stat
[2024-11-27 20:23:18,912] DEBUG: Creating converter from 3 to 5
[2024-11-27 20:23:19,033] WARNING: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[2024-11-27 20:23:29,033] WARNING:  * Debugger is active!
[2024-11-27 20:23:29,036] INFO:  * Debugger PIN: 794-482-714
[2024-11-27 20:23:42,112] DEBUG: Creating converter from 3 to 5
[2024-11-27 20:23:42,212] WARNING: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[2024-11-27 20:23:51,466] INFO: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-11-27 20:23:51,466] INFO: [33mPress CTRL+C to quit[0m
[2024-11-27 20:23:51,468] INFO:  * Restarting with stat
[2024-11-27 20:23:54,218] DEBUG: Creating converter from 3 to 5
[2024-11-27 20:23:54,330] WARNING: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[2024-11-27 20:24:03,897] WARNING:  * Debugger is active!
[2024-11-27 20:24:03,899] INFO:  * Debugger PIN: 794-482-714
[2024-11-27 20:24:16,400] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "GET /home HTTP/1.1" 200 -
[2024-11-27 20:24:16,516] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "[36mGET /static/home.css HTTP/1.1[0m" 304 -
[2024-11-27 20:24:16,519] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "[36mGET /static/photo/肉球2.png HTTP/1.1[0m" 304 -
[2024-11-27 20:24:16,519] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "[36mGET /static/photo/履歴.png HTTP/1.1[0m" 304 -
[2024-11-27 20:24:16,592] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "[36mGET /static/home.js HTTP/1.1[0m" 304 -
[2024-11-27 20:24:16,604] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:16] "[36mGET /static/ホーム背景.png HTTP/1.1[0m" 304 -
[2024-11-27 20:24:23,305] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:23] "GET /history HTTP/1.1" 200 -
[2024-11-27 20:24:23,342] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:23] "[36mGET /static/history.css HTTP/1.1[0m" 304 -
[2024-11-27 20:24:23,345] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:23] "[36mGET /static/history.js HTTP/1.1[0m" 304 -
[2024-11-27 20:24:23,376] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:23] "[36mGET /static/ホーム背景.png HTTP/1.1[0m" 304 -
[2024-11-27 20:24:23,967] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:23] "GET /old_history HTTP/1.1" 200 -
[2024-11-27 20:24:24,004] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:24] "[36mGET /static/history.css HTTP/1.1[0m" 304 -
[2024-11-27 20:24:24,007] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:24] "[36mGET /static/history.js HTTP/1.1[0m" 304 -
[2024-11-27 20:24:24,037] INFO: 127.0.0.1 - - [27/Nov/2024 20:24:24] "[36mGET /static/ホーム背景.png HTTP/1.1[0m" 304 -
